Carimbo de data/hora,1 - Você já utilizou o MOJ ?,1 - Qual seu sexo ?,2 - Qual a sua idade ?,3 - Qual o seu curso ?,4 - Qual o seu período?,1 - Você sente facilidade para encontrar as suas listas de atividades no MOJ ? ,2 -  Você já enfrentou problemas para saber oque está acontecendo com o seu código dentro do MOJ ?,3 - Como você avalia a acessibilidade do MOJ ?,"4 - Em relação aos problemas que você encontra no MOJ, você se sente auxiliado em relação a eles ?", 5 -  O MOJ fornece feedback útil quando cometo erros ou encontro problemas?,"6 -  Sobre a afirmação: ""O MOJ é uma plataforma inclusiva""","7 - Sobre a afirmação: ""O MOJ informa sobre o status do sistema durante o uso.""
Exemplo:","8 - Sobre a afirmação: ""É fácil corrigir uma ação caso cometa um erro ao submeter a questão.""
Exemplo: corrigir o arquivo de um código já enviado. 🗑","9 - Sobre a afirmação: ""A aparência do MOJ é  agradável as olhos"".","10 - Sobre a afirmação: ""O MOJ é um site intuitivo de se navegar""","11 - Sobre a afirmação: ""É fácil acessar informações de ajuda ou documentação quando você precisa de orientação.""","12 - Caso já tenha usado outro(s) juiz(es) eletrônico(s), como você avaliaria o MOJ comparativamente?",13 - O que você menos gosta no site do MOJ? Que melhorias você sugere para o site ?
18/09/2023 21:39:23,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,10° período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, raramente me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Discordo Totalmente,Discordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Considero o MOJ abaixo da média,"Falta de acessibilidade, os botões são muito pequenos e não aparentam ser clicáveis, você só percebe que são botões quando passa o mouse por cima. Os textos possuem uma fonte pequena e não oferecem uma opção de aumento da fonte. Algumas informações apresentadas no site estão sem formatação adequada, por exemplo, a formatação da data de início e fim das listas (Tue Sep 12 10:00:00 -03 2023), para um site acessado por brasileiros, poderia vir algo nesse sentido: Terça-feira, 12 de Setembro de 2023 às 10:00."
18/09/2023 22:18:40,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,3° período,Sempre encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Sou Neutro,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Sou neutro,Considero o MOJ abaixo da média,o visual do site 
18/09/2023 22:55:48,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,8° período,Sempre encontro minhas listas com facilidade,Sempre sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, raramente me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Discordo Parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Considero o MOJ abaixo da média,
19/09/2023 00:02:45,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,2° período,Sempre encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Boa,Não encontro problemas ao utilizar o MOJ >:(,Sempre recebo feedback claro e útil.,Concordo Totalmente,Sou neutro,Sou neutro,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Não usei outros juizes eletrônicos,
19/09/2023 08:26:48,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Sempre encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Mediana,Não encontro problemas ao utilizar o MOJ >:(,Com frequência recebo feedback claro e útil,Concordo Parcialmente,Sou neutro,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Considero o MOJ acima da média,Não poder realizar questões avulsas para treinar
19/09/2023 08:46:32,Sim,Masculino,De 24 anos até 30 anos,Engenharia de Software,9° período,Sempre encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Sou Neutro,Concordo totalmente,Discordo parcialmente,Sou neutro,Concordo parcialmente,Discordo parcialmente,Considero o MOJ na média,
19/09/2023 11:56:52,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,5° período,Raramente encontro minhas listas com facilidade,Nunca sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, nunca me senti bem auxiliado.",Nunca recebo feedback claro e útil,Concordo Totalmente,Discordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo totalmente,Considero o MOJ na média,N ter um feedback do código. Sugiro um feedback do que tá errado e uma sugestão do que corrigir
19/09/2023 15:46:17,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,4° período,Com frequência encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Concordo Parcialmente,Sou neutro,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Sou neutro,Não usei outros juizes eletrônicos,melhor interface de usuario
19/09/2023 16:12:13,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Ás vezes encontro minhas listas com facilidade,Nunca sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, nunca me senti bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Totalmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Sou neutro,Discordo totalmente,Considero o MOJ abaixo da média,"O Moj não indica a porcentagem de acerto no “score”, ele só fala se você acertou ou não e a quantidade de tentativas. Isso atrapalha e muito, já que em juízes online dificilmente se tem um Feedback claro do erro. O moj ele não tenta dar esse Feedback e você comumente fica com 95% de testes acertados, mas não tem ideia do que houve de errado.
Isso tbm dificulta em achar erros do próprio sistema do moj, já que o estudante tende a achar que o erro está no código dele. Todo sistema tem falhas."
19/09/2023 16:38:52,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,9° período,Ás vezes encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Parcialmente,Discordo parcialmente,Sou neutro,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Considero o MOJ abaixo da média,"Aparência, feedbacks do código"
19/09/2023 21:42:08,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,4° período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Péssima,"Quando encontro problemas, raramente me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Considero o MOJ na média,"O site é feio e por seu visual ""robusto"" pode ser meio dificil de se localizar nele"
19/09/2023 21:44:52,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,3° período,Ás vezes encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, raramente me sinto bem auxiliado.",Sempre recebo feedback claro e útil.,Sou Neutro,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Não usei outros juizes eletrônicos,A parte de encontrar a lista
